,textblob_polarity,textblob_polarity,textblob_subjectivity,textblob_subjectivity,nltk_si_compound,nltk_si_compound,nltk_si_pos,nltk_si_neg,nltk_si_neu,Complaint
,mean,std,mean,std,mean,std,mean,mean,mean,count
Date,,,,,,,,,,
2022-05,0.0061,0.121,0.3419,0.164,-0.3873,0.5785,0.051,0.0862,0.8628,149
2022-06,0.0134,0.1022,0.3401,0.1423,-0.4217,0.6168,0.0484,0.0845,0.8671,185
2022-07,0.0107,0.1074,0.343,0.1576,-0.3582,0.5942,0.0525,0.0829,0.8646,217
2022-08,-0.0006,0.1385,0.3811,0.156,-0.3994,0.6218,0.0556,0.0867,0.8577,251
2022-09,0.0095,0.1201,0.3817,0.1817,-0.4256,0.6088,0.0489,0.0894,0.8618,206
2022-10,-0.009,0.1227,0.3681,0.16,-0.479,0.6023,0.0504,0.1008,0.8487,200
2022-11,0.0226,0.1408,0.3747,0.1683,-0.3315,0.6471,0.0513,0.0838,0.8649,195
2022-12,-0.006,0.145,0.3673,0.1928,-0.2954,0.6292,0.0475,0.0879,0.8646,377
2023-01,-0.0125,0.1669,0.3025,0.2338,-0.244,0.4547,0.0335,0.0957,0.8708,2069
2023-02,-0.0009,0.1501,0.3358,0.2057,-0.2561,0.5555,0.0452,0.0897,0.8651,604
2023-03,-0.0042,0.1513,0.3464,0.1964,-0.3268,0.5754,0.0449,0.0971,0.8579,469
2023-04,0.004,0.139,0.342,0.1714,-0.3596,0.619,0.0499,0.0923,0.8578,324
2023-05,-0.0032,0.1648,0.3396,0.2193,-0.2804,0.5619,0.0458,0.0956,0.8586,492
2023-06,-0.0028,0.1414,0.3461,0.1861,-0.3443,0.5777,0.047,0.0956,0.8574,381
2023-07,-0.0009,0.1213,0.347,0.1657,-0.3396,0.6348,0.053,0.0962,0.8508,315
2023-08,0.0115,0.1247,0.3604,0.1771,-0.3669,0.6205,0.0546,0.0949,0.8506,384
2023-09,0.0026,0.1245,0.3551,0.1466,-0.4117,0.6172,0.0524,0.0916,0.856,282
2023-10,0.0004,0.1292,0.3453,0.1652,-0.3669,0.6535,0.0513,0.097,0.8517,311
2023-11,0.002,0.1252,0.3587,0.1686,-0.3494,0.6565,0.0525,0.0936,0.8539,325
2023-12,0.009,0.1378,0.3415,0.1726,-0.3433,0.6563,0.0554,0.0894,0.8553,308
2024-01,0.011,0.1195,0.3615,0.1644,-0.3062,0.6689,0.0577,0.0889,0.8535,322
2024-02,0.0117,0.1187,0.3585,0.1616,-0.1881,0.7069,0.0644,0.082,0.8536,324
2024-03,0.0064,0.105,0.3506,0.1737,-0.3469,0.6531,0.0553,0.091,0.8537,314
2024-04,0.0123,0.1258,0.3567,0.1724,-0.3728,0.6465,0.0511,0.0885,0.8603,333
2024-05,0.0041,0.1335,0.3741,0.1733,-0.3362,0.6255,0.0563,0.0922,0.8514,366
2024-06,0.0042,0.1052,0.3575,0.1604,-0.3494,0.6546,0.0607,0.0952,0.8441,331
2024-07,0.0215,0.1303,0.3629,0.1637,-0.3123,0.6631,0.0602,0.0965,0.8433,356
2024-08,0.0035,0.1212,0.3654,0.1805,-0.3363,0.6532,0.0566,0.0948,0.8486,401
2024-09,0.0048,0.124,0.3525,0.1628,-0.3588,0.6501,0.0598,0.0937,0.8465,314
2024-10,0.0075,0.1334,0.3782,0.1744,-0.3983,0.6379,0.0514,0.0969,0.8517,394
2024-11,-0.0046,0.1161,0.3729,0.1728,-0.3443,0.6505,0.0523,0.0913,0.8564,326
2024-12,0.0082,0.1439,0.3594,0.1683,-0.319,0.6633,0.0597,0.0948,0.8455,301
